full_text,created_at,label1,label2,label3,final_label,clean_text
polri benar-benar luar biasa! Jaga kuaitas makanan MBG mantap tenan. Program Pak Prabowo jadi lebih tepercaya. Keep up the good work https://t.co/6f1iZDF871,2025-10-31 14:15:13+00:00,Positif,Positif,Negatif,Positif,polri benar benar luar biasa jaga kuaitas makanan mbg mantap tenan program pak prabowo jadi lebih tepercaya keep up the good work
ga sia-sia kerja keras Polri buat dukung program Prabowo lewat kualitas makanan. Good job https://t.co/L8Ns6wbmUg ,2025-10-31 14:55:49+00:00,Positif,Positif,Negatif,Positif,ga sia sia kerja keras polri buat dukung program prabowo lewat kualitas makanan good job
hebat Polri dukung makanan MBG yg berkualitas. Jempol deh buat program Prabowo semoga sukses besar ya https://t.co/5zJ6vwXCEX,2025-10-31 22:36:49+00:00,Negatif,Negatif,Negatif,Negatif,hebat polri dukung makanan mbg yg berkualitas jempol deh buat program prabowo semoga sukses besar
Keberhasilan Presiden Prabowo membangun Papua dirasakan nyata masyarakat. Melalui program pembangunan merata infrastruktur semakin maju serta peningkatan bidang pendidikan kesehatan dan ekonomi Papua bergerak menuju masa depan lebih sejahtera #KerjaNyataPresidenUtkPapua https://t.co/pNKqECWaLd,2025-10-31 22:08:48+00:00,Positif,Positif,Positif,Positif,keberhasilan presiden prabowo membangun papua dirasakan nyata masyarakat melalui program pembangunan merata infrastruktur semakin maju peningkatan bidang pendidikan kesehatan ekonomi papua bergerak menuju masa depan lebih sejahtera
luar biasa Polri! Berkomitmen jaga kualitas makanan MBG cocok bgt utk dukung program hebat Pak Prabowo https://t.co/Z53iIgAGnF,2025-10-31 22:18:24+00:00,Negatif,Negatif,Negatif,Negatif,luar biasa polri berkomitmen jaga kualitas makanan mbg cocok bgt utk dukung program hebat pak prabowo
Terima kasih Pak @prabowo sangat menyukai ini . Smoga kelak Bapak diberi kesempatan bertemu Khalid bin Walid radhiallaahu anhu amin https://t.co/Ph09lXkYYv,2025-10-31 17:21:15+00:00,Positif,Negatif,Positif,Positif,terima kasih pak sangat menyukai smoga kelak bapak diberi kesempatan bertemu khalid bin walid radhiallaahu anhu amin
salut buat Polri yang terus jaga kualitas makanan MBG! Langkah positif dukung program Pak Prabowo. Maju terus demi generasi sehat dan kuat https://t.co/xyPvlOa8KT,2025-10-31 17:56:00+00:00,Negatif,Negatif,Negatif,Negatif,salut buat polri terus jaga kualitas makanan mbg langkah positif dukung program pak prabowo maju terus generasi sehat kuat
Siswa penerima makan bergizi gratis atau MBG di Jawa Tengah menyelipkan permintaan menu dan terima kasih ke Presiden Prabowo dengan cara yang unik. Simak berita selengkapnya hanya di https://t.co/6JJAT1Pjug #HardNews_Viral #FlashOne #CariBeritaditvOne #MBG #JawaTengah https://t.co/2Ba3ZNCIIe,2025-10-31 23:30:00+00:00,Positif,Positif,Positif,Positif,siswa penerima makan bergizi gratis mbg jawa tengah menyelipkan permintaan menu terima kasih presiden prabowo cara unik simak berita selengkapnya
bangga bgt sama Polri! Turut andil jaga kualitas makanan MBG pastinya mendukung penuh program presiden Prabowo. Sedap nih liat langkah positif gini https://t.co/H7mt4I8om4,2025-10-31 16:53:37+00:00,Negatif,Positif,Negatif,Negatif,bangga bgt sama polri turut andil jaga kualitas makanan mbg pastinya mendukung penuh program presiden prabowo sedap nih liat langkah positif gini
Jokowi bukan negarawan: 1. Intervensi putusan MK 90. 2. Pernyataan presiden boleh berpihak dan berkampanye. 3. Mencuri APBN dan 4. Mobilisasi aparatur utk pemenangan Prabowo Gibran 2 Feb 2024: https://t.co/jPaI0YWVYM #GantungJokowiNegarawanPalsu #GantungJokowiNegarawanPalsu https://t.co/EMZs50KNnw,2025-10-31 18:44:25+00:00,Negatif,Negatif,Negatif,Negatif,jokowi bukan negarawan intervensi putusan mk pernyataan presiden berpihak berkampanye mencuri apbn mobilisasi aparatur utk pemenangan prabowo gibran feb
Berkat Presiden Prabowo makin punya semangat jaga kesehatan karena cek kesehatan gratis udah jadi kenyataan #CekKesehatanGratis https://t.co/ulqA13Xn2v,2025-10-31 22:36:06+00:00,Positif,Positif,Positif,Positif,berkat presiden prabowo makin punya semangat jaga kesehatan cek kesehatan gratis udah jadi kenyataan
makanan MBG aman Polri siap sedia! Dukung full program Pak Prabowo biar semua bisa sehat berkualitas. Good job https://t.co/lYInFJxNp3,2025-10-31 21:05:39+00:00,Negatif,Positif,Negatif,Negatif,makanan mbg aman polri siap sedia dukung full program pak prabowo biar semua sehat berkualitas good job
Dukungan masyarakat ke Presiden Prabowo soal pembangunan Sekolah Rakyat di Sukoharjo tuh total banget #SekolahRakyat https://t.co/kH3x1kz2Us,2025-10-31 22:51:26+00:00,Positif,Positif,Positif,Positif,dukungan masyarakat presiden prabowo soal pembangunan sekolah rakyat sukoharjo tuh total banget
Indonesia adil berkeadilan rukun makmur Jika Presiden mendukung lembaga penegak hukum menumpas bajingan negara dengan system yg TEGAS! Monitor Yth Bpk Presiden @prabowo @DPR_RI @KejaksaanRI @KPK_RI @Gerindra 1 th 12 hari Presiden @prabowo https://t.co/jm5fGJGPCr,2025-10-31 23:04:25+00:00,Positif,Negatif,Positif,Positif,indonesia adil berkeadilan rukun makmur presiden mendukung lembaga penegak hukum menumpas bajingan negara system yg tegas monitor yth bpk presiden th hari presiden
1 th 12 hari Presiden @prabowo Indonesia adil berkeadilan rukun makmur Jika Presiden mendukung lembaga penegak hukum menumpas bajingan negara dengan system yg TEGAS! Monitor Yth Bpk Presiden @prabowo @DPR_RI @KejaksaanRI @KPK_RI @Gerindra https://t.co/tZV4ynGoyN,2025-10-31 22:19:21+00:00,Positif,Negatif,Positif,Positif,th hari presiden indonesia adil berkeadilan rukun makmur presiden mendukung lembaga penegak hukum menumpas bajingan negara system yg tegas monitor yth bpk presiden
Presiden Prabowo bawa perubahan masyarakat Papua jadi makin sehat berkat air bersih dari pipanisasi TNI #TNIJagaPapua https://t.co/DEYF7P2lnr,2025-10-31 22:08:56+00:00,Positif,Positif,Positif,Positif,presiden prabowo bawa perubahan masyarakat papua jadi makin sehat berkat air bersih pipanisasi tni
