full_text,created_at,label1,label2,label3
polri benar-benar luar biasa! Jaga kuaitas makanan MBG mantap tenan. Program Pak Prabowo jadi lebih tepercaya. Keep up the good work https://t.co/6f1iZDF871,2025-10-31 14:15:13+00:00,Positif,Positif,Negatif
ga sia-sia kerja keras Polri buat dukung program Prabowo lewat kualitas makanan. Good job https://t.co/L8Ns6wbmUg ,2025-10-31 14:55:49+00:00,Positif,Positif,Negatif
hebat Polri dukung makanan MBG yg berkualitas. Jempol deh buat program Prabowo semoga sukses besar ya https://t.co/5zJ6vwXCEX,2025-10-31 22:36:49+00:00,Negatif,Negatif,Negatif
Keberhasilan Presiden Prabowo membangun Papua dirasakan nyata masyarakat. Melalui program pembangunan merata infrastruktur semakin maju serta peningkatan bidang pendidikan kesehatan dan ekonomi Papua bergerak menuju masa depan lebih sejahtera #KerjaNyataPresidenUtkPapua https://t.co/pNKqECWaLd,2025-10-31 22:08:48+00:00,Positif,Positif,Positif
luar biasa Polri! Berkomitmen jaga kualitas makanan MBG cocok bgt utk dukung program hebat Pak Prabowo https://t.co/Z53iIgAGnF,2025-10-31 22:18:24+00:00,Negatif,Negatif,Negatif
Terima kasih Pak @prabowo sangat menyukai ini . Smoga kelak Bapak diberi kesempatan bertemu Khalid bin Walid radhiallaahu anhu amin https://t.co/Ph09lXkYYv,2025-10-31 17:21:15+00:00,Positif,Negatif,Positif
salut buat Polri yang terus jaga kualitas makanan MBG! Langkah positif dukung program Pak Prabowo. Maju terus demi generasi sehat dan kuat https://t.co/xyPvlOa8KT,2025-10-31 17:56:00+00:00,Negatif,Negatif,Negatif
Siswa penerima makan bergizi gratis atau MBG di Jawa Tengah menyelipkan permintaan menu dan terima kasih ke Presiden Prabowo dengan cara yang unik. Simak berita selengkapnya hanya di https://t.co/6JJAT1Pjug #HardNews_Viral #FlashOne #CariBeritaditvOne #MBG #JawaTengah https://t.co/2Ba3ZNCIIe,2025-10-31 23:30:00+00:00,Positif,Positif,Positif
bangga bgt sama Polri! Turut andil jaga kualitas makanan MBG pastinya mendukung penuh program presiden Prabowo. Sedap nih liat langkah positif gini https://t.co/H7mt4I8om4,2025-10-31 16:53:37+00:00,Negatif,Positif,Negatif
Jokowi bukan negarawan: 1. Intervensi putusan MK 90. 2. Pernyataan presiden boleh berpihak dan berkampanye. 3. Mencuri APBN dan 4. Mobilisasi aparatur utk pemenangan Prabowo Gibran 2 Feb 2024: https://t.co/jPaI0YWVYM #GantungJokowiNegarawanPalsu #GantungJokowiNegarawanPalsu https://t.co/EMZs50KNnw,2025-10-31 18:44:25+00:00,Negatif,Negatif,Negatif
Berkat Presiden Prabowo makin punya semangat jaga kesehatan karena cek kesehatan gratis udah jadi kenyataan #CekKesehatanGratis https://t.co/ulqA13Xn2v,2025-10-31 22:36:06+00:00,Positif,Positif,Positif
makanan MBG aman Polri siap sedia! Dukung full program Pak Prabowo biar semua bisa sehat berkualitas. Good job https://t.co/lYInFJxNp3,2025-10-31 21:05:39+00:00,Negatif,Positif,Negatif
Dukungan masyarakat ke Presiden Prabowo soal pembangunan Sekolah Rakyat di Sukoharjo tuh total banget #SekolahRakyat https://t.co/kH3x1kz2Us,2025-10-31 22:51:26+00:00,Positif,Positif,Positif
Indonesia adil berkeadilan rukun makmur Jika Presiden mendukung lembaga penegak hukum menumpas bajingan negara dengan system yg TEGAS! Monitor Yth Bpk Presiden @prabowo @DPR_RI @KejaksaanRI @KPK_RI @Gerindra 1 th 12 hari Presiden @prabowo https://t.co/jm5fGJGPCr,2025-10-31 23:04:25+00:00,Positif,Negatif,Positif
1 th 12 hari Presiden @prabowo Indonesia adil berkeadilan rukun makmur Jika Presiden mendukung lembaga penegak hukum menumpas bajingan negara dengan system yg TEGAS! Monitor Yth Bpk Presiden @prabowo @DPR_RI @KejaksaanRI @KPK_RI @Gerindra https://t.co/tZV4ynGoyN,2025-10-31 22:19:21+00:00,Positif,Negatif,Positif
Presiden Prabowo bawa perubahan masyarakat Papua jadi makin sehat berkat air bersih dari pipanisasi TNI #TNIJagaPapua https://t.co/DEYF7P2lnr,2025-10-31 22:08:56+00:00,Positif,Positif,Positif
Pembangunan Sekolah Rakyat bakal bawa perubahan gede makasih Presiden Prabowo atas dukungannya #SekolahRakyat https://t.co/zBNbbyRz5v,2025-10-31 23:06:35+00:00,Positif,Positif,Positif
Jangan sampai ketinggalan! Kesempatan Magang Nasional Batch 2 untuk 80.000 lulusan perguruan tinggi di seluruh Indonesia Setelah sukses dengan Batch 1 yang menjaring 20.000 peserta Kementerian Ketenagakerjaan (Kemnaker) bersama Pemerintahan Presiden Prabowo https://t.co/zcaEqKGLBt,2025-10-31 23:58:24+00:00,Positif,Positif,Positif
polri makin keren dgn gape jaga kualitas mbg. Langkah gemilang utk dukung program Pak Prabowo. Keep it up https://t.co/rCVRD1BXr2,2025-10-31 23:05:27+00:00,Negatif,Positif,Negatif
wah mantap Polri turut serta pastikan makanan MBG terjaga kualitasnya. Langkah cerdas dukung Prabowo! Rakyat jadi tambah sehat lanjutkan kerja hebatnya https://t.co/VV2LRQHFZy,2025-10-31 17:15:40+00:00,Negatif,Positif,Negatif
dukung terus Polri yg serius jaga makanan MBG. Ini langkah cerdas buat pastikan program Pak Prabowo sukses. Semangat ya https://t.co/ylG5By6dSq,2025-10-31 22:23:04+00:00,Negatif,Positif,Negatif
bravo Polri selalu siap siaga utk dukung Prabowo lewat kontrol makanan MBG. Ini baru namanya kerja nyata utk rakyat https://t.co/1muGgfHSFh,2025-10-31 16:03:25+00:00,Negatif,Positif,Negatif
seneng bgt lihat komitmen Polri utk pastiin mutu MBG support presiden Prabowo full! Ini yang rakyat harapkan sinergi &amp; kerja nyata bersama. Go Polri https://t.co/6c7M8nB0Ho,2025-10-31 22:54:46+00:00,Negatif,Positif,Negatif
respect deh sama Polri! Dedikasinya jaga makanan MBG makin yakinin kita kalo prgrm Prabowo bakal sukses https://t.co/APEFPf2oo4,2025-10-31 18:21:43+00:00,Negatif,Positif,Negatif
